MEGS AND SAM CONSUMER GOODS TRADING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,,,,Total Number of Invested on Products,,,,," ₱123,187.50 ",
Address,,,,Total Number of Sales,,,,,0,
"City, State, ZIP",,,,Total Number of Sold Products,,,,,0,
Phone,,,,Total Estimated of Stocks (Unsold),,,,, ₱-   ,"3,423.00"
,,,,Total Estimated Value,,,,, ₱-   ,"₱262,365.00"
,,Purchase Information,,,,,,,,
Location,Description,Date,Capital Price, Price per. Product ,Number of Sales, Total  ,Stocks,Sold,Total number  of Unsold Products,Total Estimated Value
,Colored Pins,,, ₱18.00 ,, ₱-   ,0,,0,₱0.00
,Colour Pencil,,, ₱17.00 ,, ₱-   ,0,,0,₱0.00
,Colour Ribbon xs @15,,, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Condioner Gallon,,₱285.00, ₱390.00 ,, ₱-   ,0,,0,₱0.00
,Cool-its Assorted ,,, ₱160.00 ,, ₱-   ,4,,4,₱640.00
,Coolsie Sandal,,, ₱180.00 ,, ₱-   ,0,,0,₱0.00
,Cord I.D. Green,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Correction Tape ,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Correction Tape (8m),,, ₱30.00 ,, ₱-   ,0,,0,₱0.00
,Correction Tape (Small),,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Correction Tape 6m,,, ₱35.00 ,, ₱-   ,0,,,₱0.00
,Correction tape 2n1,,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,Correction tape (8),,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Correction tape 25(6m),,, ₱25.00 ,, ₱-   ,0,,1,₱0.00
,Correction tape(36),,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Cosmetic Brushes ,,, ₱40.00 ,, ₱-   ,2,,2,₱80.00
,Happy cotton 10 grms,,, ₱12.00 ,, ₱-   ,1,,1,₱12.00
, Happy cotton 40grms,,, ₱40.00 ,, ₱-   ,2,,2,₱80.00
,Cotton Buds #1,,, ₱25.00 ,, ₱-   ,7,,7,₱175.00
,Cotton Buds #2,,, ₱30.00 ,, ₱-   ,0,,0,₱0.00
,Construction paper long,,, ₱4.00 ,, ₱-   ,0,,0,₱0.00
,Construction paper short,,, ₱3.00 ,, ₱-   ,0,,0,₱0.00
,Cotton Buds #3,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Cotton Buds Sachet,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Crocs Kids Sandal,,, ₱200.00 ,, ₱-   ,1,,1,₱200.00
,Crocs Women,,, ₱135.00 ,, ₱-   ,0,,0,₱0.00
,Curae Cream,,, ₱180.00 ,, ₱-   ,4,,4,₱720.00
,Cuticle Remover ,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Cuticle Tint 1 LITER ,,, ₱170.00 ,, ₱-   ,1,,1,₱170.00
,Dior Slipper,,, ₱150.00 ,, ₱-   ,1,,1,₱150.00
,Disposable Face Mask Baby,,, ₱60.00 ,, ₱-   ,2,,2,₱120.00
,Dito Sim,,, ₱50.00 ,, ₱-   ,1,,1,₱50.00
,Dorco Blade PCS,,, ₱7.00 ,, ₱-   ,20,,20,₱140.00
,Double LinING Top,,, ₱100.00 ,, ₱-   ,11,,11,"₱1,100.00"
,Dr. Alvin Kojic Acid Soap,,, ₱110.00 ,, ₱-   ,1,,1,₱110.00
,Dr. Alvin Rejuv Set,,, ₱280.00 ,, ₱-   ,4,,4,"₱1,120.00"
,Dr. Alvin Whitening Sunscreen Cream Gel,,, ₱120.00 ,, ₱-   ,5,,5,₱600.00
,Dr. Alvin Toner 120 Ml,,, ₱180.00 ,, ₱-   ,2,,2,₱360.00
,Dress Kids Girl,,, ₱180.00 ,, ₱-   ,4,,4,₱720.00
,Dress w/Pearl,,, ₱220.00 ,, ₱-   ,0,,0,₱0.00
,Dry KNITTED Fit TSHRT,,, ₱235.00 ,, ₱-   ,7,,7,"₱1,645.00"
0,Duct Tape (Big),,, ₱140.00 ,, ₱-   ,0,,0,₱0.00
,Duct Tape (Small),,, ₱60.00 ,, ₱-   ,0,,0,₱0.00
,FEATHER Duster (for Abog),,, ₱70.00 ,, ₱-   ,0,,0,₱0.00
,DRESS FLORAL YELLOW,,, ₱180.00 ,, ₱-   ,1,,1,₱180.00
,DRESS PLAIN WHITE,,, ₱180.00 ,, ₱-   ,1,,1,₱180.00
,JUMP SUIT PINK,,, ₱180.00 ,, ₱-   ,1,,1,₱180.00
,BLOUSE OODBOO,,, ₱199.00 ,, ₱-   ,3,,3,₱597.00
,BLOUSE FLORAL ,,, ₱199.00 ,, ₱-   ,2,,2,₱398.00
,BLOUSE FLORAL OODBOO,,, ₱330.00 ,, ₱-   ,2,,2,₱660.00
,BLOUSE FLORAL 8079,,, ₱330.00 ,, ₱-   ,3,,3,₱990.00
,FLORAL DRAGON SPORT POLO,,, ₱250.00 ,, ₱-   ,3,,3,₱750.00
,FLORAL BLOUSE 6630,,, ₱330.00 ,,,1,,1,₱330.00
,BLOUSE POLO 3101,,, ₱330.00 ,, ₱-   ,4,,4,"₱1,320.00"
,TOPS SPAGHETTI,,, ₱130.00 ,, ₱-   ,4,,4,₱520.00
,TOPS 063 KNITTED,,, ₱200.00 ,, ₱-   ,2,,2,₱400.00
,BRA SPORTS,,, ₱95.00 ,, ₱-   ,5,,5,₱475.00
,SPAGHETTI TOPS W/ PADDING,,, ₱130.00 ,, ₱-   ,3,,3,₱390.00
,SLEVELESS FLORAL,,, ₱100.00 ,, ₱-   ,2,,2,₱200.00
,SANDO BLACK FOR MEN,,, ₱150.00 ,, ₱-   ,2,,2,₱300.00
,TUBE TOPS  ASST COLOR,,, ₱100.00 ,, ₱-   ,15,,15,"₱1,500.00"
,SEXY TOPS ,,, ₱199.00 ,, ₱-   ,2,,2,₱398.00
,KIDS SPAGHETTI DRESS,,, ₱99.00 ,, ₱-   ,6,,6,₱594.00
,TERNO KIDS BOY,,, ₱180.00 ,, ₱-   ,3,,3,₱540.00
,TERNO ADULT GIRL,,, ₱220.00 ,, ₱-   ,6,,6,"₱1,320.00"
,TERNO SLEEPWEAR,,, ₱180.00 ,, ₱-   ,2,,2,₱360.00
,CULDOROY SHORT (TENTATIVE),,, ₱250.00 ,, ₱-   ,3,,3,₱750.00
,SHORT NIPIS GIRL,,, ₱100.00 ,, ₱-   ,3,,3,₱300.00
,SMILE Z SEXY TOPS WHITE,,, ₱200.00 ,, ₱-   ,1,,1,₱200.00
,SPAGHETTI SEXY TOPS BROWN,,, ₱180.00 ,, ₱-   ,1,,1,₱180.00
,SHEIN WHITE BLOUSE,,, ₱120.00 ,, ₱-   ,1,,1,₱120.00
,TURTLE NECK SLEVELESS GRAY ,,, ₱130.00 ,, ₱-   ,2,,2,₱260.00
,SHORT BOY ,,, ₱150.00 ,, ₱-   ,3,,3,₱450.00
,RUSH GUARD BLACK,,, ₱180.00 ,, ₱-   ,1,,1,₱180.00
,Duster Dress,,, ₱350.00 ,, ₱-   ,2,,2,₱700.00
,Ear PICK FALSHLIGHT,,, ₱25.00 ,, ₱-   ,5,,5,₱125.00
,Ear CANDLE ,,, ₱25.00 ,, ₱-   ,4,,4,₱100.00
,Easy Write Grade 4,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Empress Fem Wash,,, ₱140.00 ,, ₱-   ,0,,0,₱0.00
,Empty Container Spray  ,,, ₱20.00 ,, ₱-   ,2,,2,₱40.00
,Envelope (Sobre) white,,, ₱4.00 ,, ₱-   ,150,,150,₱600.00
,Expanded Envelope BIG,,, ₱30.00 ,, ₱-   ,20,,20,₱600.00
,Expanded Envelope Small,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Eyelash Adhesive,,, ₱50.00 ,, ₱-   ,13,,13,₱650.00
,Eyelash Curler ,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Eyelash Tweezer,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,EYELASH D,,, ₱99.00 ,, ₱-   ,4,,4,₱396.00
,Eyelash with Box,,, ₱135.00 ,, ₱-   ,1,,1,₱135.00
,ASHLEY SUPER liner Water Proof,,, ₱60.00 ,, ₱-   ,5,,5,₱300.00
,EYEBROW MASCARA,,, ₱60.00 ,, ₱-   ,2,,2,₱120.00
,Face Mask 3D ,,, ₱25.00 ,, ₱-   ,4,,4,₱100.00
,Face Mask Big PACK,,, ₱60.00 ,, ₱-   ,12,,12,₱720.00
,Face Mas KF94 BIG,,, ₱35.00 ,, ₱-   ,10,,10,₱350.00
,Face Mask Kids,,, ₱60.00 ,, ₱-   ,6,,6,₱360.00
,Face Mask KN95,,, ₱35.00 ,, ₱-   ,6,,6,₱210.00
,Face Mask TELA FASHION,,, ₱35.00 ,, ₱-   ,2,,2,₱70.00
,Fairy Skin SPF 50 Brightening Sunscreen,,, ₱250.00 ,, ₱-   ,2,,2,₱500.00
,PREMUIM BRIGHTENING KIT SET,,, ₱340.00 ,, ₱-   ,4,,4,"₱1,360.00"
,Fairy Skin DERMA FACIAL KIT  SET,,, ₱340.00 ,, ₱-   ,6,,6,"₱2,040.00"
,Fan (Pay-pay),,, ₱45.00 ,, ₱-   ,8,,8,₱360.00
,Fashion Jewelry EARING,,, ₱35.00 ,, ₱-   ,35,,35,"₱1,225.00"
,Fashion Sandal,,, ₱160.00 ,, ₱-   ,0,,0,₱0.00
,Feeling Fresh Deo QUELCH,,, ₱119.00 ,, ₱-   ,9,,9,"₱1,071.00"
,Feminine Comfort Napkin Blue,,, ₱280.00 ,, ₱-   ,1,,1,₱280.00
,Feminine Comfort Napkin Green,,, ₱250.00 ,, ₱-   ,6,,6,"₱1,500.00"
,Feminine Comfort Napkin Pink,,, ₱250.00 ,, ₱-   ,0,,0,₱0.00
,Fine Tweezers (Black),,, ₱80.00 ,, ₱-   ,0,,0,₱0.00
,Fit Gum Collagen Chia Coffee Mix PACK,,, ₱250.00 ,, ₱-   ,4,,4,"₱1,000.00"
,Fit Gum Collagen Chia Coffee MIX SACHET,,, ₱4.00 ,, ₱-   ,50,,50,₱200.00
,Foot Socks 3 IN 1 PACK,,, ₱50.00 ,, ₱-   ,3,,3,₱150.00
,For Men Fearless B/Spray,,, ₱195.00 ,, ₱-   ,0,,0,₱0.00
,For Men PC B/Spray,,, ₱195.00 ,, ₱-   ,3,,3,₱585.00
,Freshies Avocado ,,, ₱380.00 ,, ₱-   ,2,,2,₱760.00
,Fruity Pink (1000mL) 1 Galloon,,, ₱390.00 ,, ₱-   ,2,,2,₱780.00
,Fusion (Color) 0.00,,₱42.00, ₱48.00 ,, ₱-   ,1,,1,₱48.00
,Fusion (Color) 0.11,,₱42.00, ₱48.00 ,, ₱-   ,3,,3,₱144.00
,Fusion (Color) 0.22,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 0.33,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 12.11,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 2.0,,₱42.00, ₱48.00 ,, ₱-   ,1,,1,₱48.00
,Fusion (Color) 3.0,,₱42.00, ₱48.00 ,, ₱-   ,1,,1,₱48.00
,Fusion (Color) 4.0,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 5.0,,₱42.00, ₱48.00 ,, ₱-   ,2,,2,₱96.00
,Fusion (Color) 5.3,,₱42.00, ₱48.00 ,, ₱-   ,3,,3,₱144.00
,Fusion (Color) 5.5,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 6.0,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 6.11,,₱42.00, ₱48.00 ,, ₱-   ,3,,3,₱144.00
,Fusion (Color) 6.75,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 7.0,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 7.3,,₱42.00, ₱48.00 ,, ₱-   ,3,,3,₱144.00
,Fusion (Color) 7.5,,₱42.00, ₱48.00 ,, ₱-   ,3,,3,₱144.00
,Fusion (Color) 8.0,,₱42.00, ₱48.00 ,, ₱-   ,3,,3,₱144.00
,Fusion (Color) 8.11,,₱42.00, ₱48.00 ,, ₱-   ,2,,2,₱96.00
,Fusion (Color) 8.33,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 8.43,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 9.0,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) 9.11,,₱42.00, ₱48.00 ,, ₱-   ,1,,1,₱48.00
,Fusion (Color) 9.3,,₱42.00, ₱48.00 ,, ₱-   ,3,,3,₱144.00
,Fusion (Color) F10.60,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) F12.16,,₱42.00, ₱48.00 ,, ₱-   ,2,,2,₱96.00
,Fusion (Color) F12.18,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion (Color) F9.18,,₱42.00, ₱48.00 ,, ₱-   ,0,,0,₱0.00
,Fusion 6% Developer Cream 1000mL,,, ₱145.00 ,, ₱-   ,0,,0,₱0.00
,Fusion Oxidizer 6% Big ,,, ₱145.00 ,, ₱-   ,0,,0,₱0.00
,Fusion Oxidizer 9% Big ,,, ₱145.00 ,, ₱-   ,0,,0,₱0.00
,Fusion Sachet Purple Shampoo,,, ₱30.00 ,, ₱-   ,5,,5,₱150.00
,Geisha 3pcs Value Pack Soap,,, ₱170.00 ,, ₱-   ,3,,3,₱510.00
,Gel Ink Pen 0.5mm,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Genius 1/2 crosswise,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Genius Intermediate Pad,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Gillette Shaver,,, ₱25.00 ,, ₱-   ,10,,10,₱250.00
,GIMI Sandal (AssortedSize/Color),,, ₱199.00 ,, ₱-   ,0,,0,₱0.00
,Glitter Glue,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Globe (Big),,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,Globe (Small),,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Glue Joy,,, ₱20.00 ,, ₱-   ,12,,12,₱240.00
,Glue elmers,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Glue  White 2in1,,, ₱17.00 ,, ₱-   ,0,,0,₱0.00
,Glue Gun,,, ₱120.00 ,, ₱-   ,0,,0,₱0.00
,Glue Stick (Big),,, ₱15.00 ,, ₱-   ,12,,12,₱180.00
,Glue Stick (small),,, ₱5.00 ,, ₱-   ,12,,12,₱60.00
,Gluta 2in1 Original Soap,,, ₱40.00 ,, ₱-   ,7,,7,₱280.00
,Gluta Kojic Original Soap,,, ₱40.00 ,, ₱-   ,3,,3,₱120.00
,Glutation original soap WHITE,,, ₱40.00 ,, ₱-   ,5,,5,₱200.00
,Gluta Lipo COFEE 12 IN 1,,, ₱390.00 ,, ₱-   ,1,,1,₱390.00
,Gluta Lipo COFEE,,, ₱390.00 ,, ₱-   ,1,,1,₱390.00
,Glutalight LOTION 180mL,,, ₱255.00 ,, ₱-   ,0,,0,₱0.00
,Glutathione Deo,,, ₱115.00 ,, ₱-   ,1,,1,₱115.00
,GlutaLIGHT WHITENING SOAP,,, ₱125.00 ,, ₱-   ,3,,3,₱375.00
,GLUE Eyelashes,,, ₱99.00 ,, ₱-   ,0,,0,₱0.00
,Gold Bracelet,,, ₱80.00 ,, ₱-   ,2,,2,₱160.00
,Gold Earrings ,,, ₱30.00 ,, ₱-   ,4,,4,₱120.00
,Gold Earrings @30,,, ₱30.00 ,, ₱-   ,0,,0,₱0.00
,Gold Jewelry Set,,, ₱80.00 ,, ₱-   ,0,,0,₱0.00
,Golden Dust SOAP,,, ₱70.00 ,, ₱-   ,3,,3,₱210.00
,Gorree AVOCADO,,, ₱220.00 ,, ₱-   ,5,,5,"₱1,100.00"
,Gorree Day&Night,,, ₱220.00 ,, ₱-   ,1,,1,₱220.00
,Gorree Gold ,,₱150.00, ₱220.00 ,, ₱-   ,7,,7,"₱1,540.00"
,Grade 4 Pad,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Graphing Paper,,, ₱2.00 ,, ₱-   ,0,,0,₱0.00
,Green Sandal,,, ₱200.00 ,, ₱-   ,0,,0,₱0.00
,GTX Birken Sandal,,, ₱160.00 ,, ₱-   ,0,,0,₱0.00
,GTX Sandal,,, ₱185.00 ,, ₱-   ,1,,1,₱185.00
,GTX SNDAL,,, ₱180.00 ,, ₱-   ,3,,3,₱540.00
,GTX KIDS,,, ₱160.00 ,, ₱-   ,1,,1,₱160.00
,Gucci Sandal,,, ₱150.00 ,, ₱-   ,0,,0,₱0.00
,Gunting Small,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Habibi Skin SET GLOWING,,, ₱340.00 ,, ₱-   ,6,,6,"₱2,040.00"
,Habibi BABAD SOAP,,, ₱180.00 ,, ₱-   ,7,,7,"₱1,260.00"
,Habibi PREMIUM  Rejuv,,, ₱290.00 ,, ₱-   ,6,,6,"₱1,740.00"
,Habibi Soap  REFIL,,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,Hair Blackening,,, ₱10.00 ,, ₱-   ,1,,1,₱10.00
,Hair Brush,,, ₱25.00 ,, ₱-   ,2,,2,₱50.00
,Hair Clamp @15,,, ₱15.00 ,, ₱-   ,6,,6,₱90.00
,Hair Clamp @20,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Hair Clamp @25 HC 1025,,, ₱25.00 ,, ₱-   ,6,,6,₱150.00
,Hair Clamp @30p,,, ₱30.00 ,, ₱-   ,13,,13,₱390.00
,Hair Clamp @35p 717,,, ₱35.00 ,, ₱-   ,56,,56,"₱1,960.00"
,Hair Clamp @45,,, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Hair Clip @2for25p MC228 EACH 25,,, ₱25.00 ,, ₱-   ,9,,9,₱225.00
,HAIR CLIP MC850 PAIR,,, ₱25.00 ,, ₱-   ,6,,6,₱150.00
,Hair Clip @50 3 IN 1,,, ₱50.00 ,, ₱-   ,2,,2,₱100.00
,Hair Clip set @45p,,, ₱45.00 ,, ₱-   ,2,,2,₱90.00
,Hair Clip set @65p,,, ₱65.00 ,, ₱-   ,3,,3,₱195.00
,Hair Pin,,, ₱5.00 ,, ₱-   ,16,,16,₱80.00
,Hair Pin (8pcs per set),,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Hair Sulod ,,, ₱10.00 ,, ₱-   ,21,,21,₱210.00
,Hair Thinning Scissors,,, ₱225.00 ,, ₱-   ,0,,0,₱0.00
,Hally Lotion 250mL,,₱75.00, ₱130.00 ,, ₱-   ,1,,1,₱130.00
,Hami san Facial Serum 15mL,,₱115.00, ₱180.00 ,, ₱-   ,7,,7,"₱1,260.00"
,Hami san Serum 30 ml,,, ₱250.00 ,, ₱-   ,5,,5,"₱1,250.00"
,Hami San Kojic Soap REFIL,,, ₱100.00 ,, ₱-   ,0,,0,₱0.00
,Hami San Night Cream 10g REFILL,,, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Hami San Premium Set,,, ₱260.00 ,, ₱-   ,0,,0,₱0.00
,Hami San Glass Skin toner 60 ml,,, ₱95.00 ,, ₱-   ,1,,1,₱95.00
,Hami San Premium Whitening Sunblock,,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Hami San Toner Premium Whitening,,, ₱95.00 ,, ₱-   ,0,,0,₱0.00
,Hami San Whitening REJUV Set,,, ₱250.00 ,, ₱-   ,5,,5,"₱1,250.00"
,Hamisan Toner Premium Whitening 60ml,,, ₱95.00 ,, ₱-   ,0,,0,₱0.00
,Hamisan Whitening Whipped Soap REFILL,,, ₱95.00 ,, ₱-   ,0,,0,₱0.00
,Happy Bday Cake Topper,,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Haviainas Slipper,,, ₱100.00 ,, ₱-   ,0,,0,₱0.00
,Haviainas Slipper @130,,, ₱130.00 ,, ₱-   ,6,,6,₱780.00
,Haviainas Slipper @50,,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,Haviainas Slipper @85,,, ₱85.00 ,, ₱-   ,0,,0,₱0.00
,Haviainas Slipper @95,,, ₱95.00 ,, ₱-   ,2,,2,₱190.00
,Headband @20p,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Hedband @ 45,,, ₱45.00 ,, ₱-   ,4,,4,₱180.00
,Headband @35p,,, ₱35.00 ,, ₱-   ,23,,23,₱805.00
,Headband @60,,, ₱65.00 ,, ₱-   ,1,,1,₱65.00
,Headband xmas,,, ₱55.00 ,, ₱-   ,3,,3,₱165.00
,Henna Wax 500mL ,,, ₱140.00 ,, ₱-   ,0,,0,₱0.00
,Highlighter ,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Highlighter (pack),,, ₱36.00 ,, ₱-   ,0,,0,₱0.00
,Hikari Skin  refill,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Hikari Skin Rejuv,,, ₱190.00 ,, ₱-   ,4,,4,₱760.00
,Hikari Skin Ultra Fresh Toner,,, ₱90.00 ,, ₱-   ,0,,0,₱0.00
,Hikari Skin Ultra Fresh Sunscreen ,,, ₱180.00 ,, ₱-   ,4,,4,₱720.00
,Hikari Ultra Dietary Supplement,,, ₱350.00 ,, ₱-   ,1,,1,₱350.00
,Hokkaido Graphing Notebook,,, ₱60.00 ,, ₱-   ,3,,3,₱180.00
,Honest Glow Blue Serum,,, ₱290.00 ,, ₱-   ,5,,5,"₱1,450.00"
,Honest Glow Glass Skin Serum Pink,,, ₱280.00 ,, ₱-   ,2,,2,₱560.00
,I.D Pin,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Ice Cold 150ml,,, ₱110.00 ,, ₱-   ,1,,1,₱110.00
,Ice Cold 500ml,,, ₱135.00 ,, ₱-   ,0,,0,₱0.00
,Ice Cream Chocolate,,, ₱5.00 ,, ₱-   ,0,,0,₱0.00
,Imax Index Card 4x6,,, ₱2.00 ,, ₱-   ,0,,0,₱0.00
,Initial Necklace,,, ₱100.00 ,, ₱-   ,0,,0,₱0.00
,Ipen 16 0.5 Fine Line,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Jordan Sandal for Men,,, ₱175.00 ,, ₱-   ,0,,0,₱0.00
,Jumbo Wax Crayons,,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,PRestige Kagayaku 70g soap bleaching,,, ₱60.00 ,, ₱-   ,5,,5,₱300.00
,CONDENSADA Kagayaku 70g soap bleaching,,, ₱50.00 ,, ₱-   ,2,,2,₱100.00
,ROSEMAR  Kagayaku 70g soap bleaching,,, ₱50.00 ,, ₱-   ,3,,3,₱150.00
,Keratin Hot Oil 1250ml,,, ₱200.00 ,, ₱-   ,3,,3,₱600.00
,Keychain,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Keychain Necklace ,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Kids KF94,,, ₱30.00 ,, ₱-   ,5,,5,₱150.00
,Kiffy Fied ,,, ₱140.00 ,, ₱-   ,7,,7,₱980.00
,Kingever Battery (AA),,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Kingever Battery (AAA),,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Kipling Wallet,,, ₱100.00 ,, ₱-   ,3,,3,₱300.00
,Kiss Beauty SUNSCREEN,,, ₱100.00 ,, ₱-   ,1,,1,₱100.00
,Kiss Beauty SUNSCREEN,,, ₱100.00 ,, ₱-   ,2,,2,₱200.00
,KK-837B Calculator,,, ₱100.00 ,, ₱-   ,0,,0,₱0.00
,Kojic Peeling Soap ROSEMAR,,, ₱55.00 ,, ₱-   ,0,,0,₱0.00
,Kojic San,,, ₱55.00 ,, ₱-   ,0,,0,₱0.00
,Kojic Soap 100g,,, ₱90.00 ,, ₱-   ,0,,0,₱0.00
,Koolies Organic Detoxifying Hand & Foot,,, ₱265.00 ,, ₱-   ,2,,2,₱530.00
,Korcs Oxidizer 12% 1000ml,,₱110.00, ₱130.00 ,, ₱-   ,2,,2,₱260.00
,Korcs Oxidizer 6% 1000ml,,₱110.00, ₱130.00 ,, ₱-   ,0,,0,₱0.00
,Korcs Oxidizer 9% 1000ml,,₱110.00, ₱130.00 ,, ₱-   ,1,,1,₱130.00
,Kuromi Kid Slipper,,, ₱210.00 ,, ₱-   ,0,,0,₱0.00
,kork board,,, ₱180.00 ,, ₱-   ,0,,0,₱0.00
,Lacoste Bag,,, ₱380.00 ,, ₱-   ,2,,2,₱760.00
,Lai Mei Comb & Mirror,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Larskin Lotion 250g,,, ₱250.00 ,, ₱-   ,1,,1,₱250.00
,Larskin Rejuv Set,,, ₱180.00 ,, ₱-   ,1,,1,₱180.00
,Larskin Whitening Body Soap,,, ₱150.00 ,, ₱-   ,1,,1,₱150.00
,Leidi Rebonding Set,,₱350.00, ₱440.00 ,, ₱-   ,2,,2,₱880.00
,Lesson Plan (Standard),,, ₱55.00 ,, ₱-   ,0,,0,₱0.00
,Lighter ,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Lightness Keratin Hair Mask Walnut 1000ml,,, ₱90.00 ,, ₱-   ,0,,0,₱0.00
,Lightness Rebonding,,, ₱390.00 ,, ₱-   ,1,,1,₱390.00
,Lightness Relaxer,,, ₱240.00 ,, ₱-   ,0,,0,₱0.00
,Lishou Coffee 150G,,, ₱330.00 ,, ₱-   ,3,,3,₱990.00
,Lishou Pack 100G,,, ₱250.00 ,, ₱-   ,1,,1,₱250.00
,Short Brown Envelope,,, ₱10.00 ,, ₱-   ,15,,15,₱150.00
,Long Brown Envelope,,, ₱15.00 ,, ₱-   ,20,,20,₱300.00
,Long Folder Brown,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,SHORT FOLDER  BROWN,,, ₱10.00 ,, ₱-   ,15,,15,₱150.00
,Long Folder White ,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Long Skirt,,, ₱420.00 ,, ₱-   ,0,,0,₱0.00
,Loot Bag,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Love Skin Perfection Sunscreen,,, ₱180.00 ,, ₱-   ,7,,7,"₱1,260.00"
,Lucky Talcum Powder ,,, ₱85.00 ,, ₱-   ,3,,3,₱255.00
,Luxime Revival Facial  SUNSCREEN,,, ₱180.00 ,, ₱-   ,2,,2,₱360.00
,MAC Color Eyelash ,,, ₱35.00 ,, ₱-   ,2,,2,₱70.00
,Magic Lipstick,,, ₱55.00 ,, ₱-   ,3,,3,₱165.00
,Manicure Brush,,, ₱25.00 ,, ₱-   ,6,,6,₱150.00
,Manila Paper ,,, ₱8.00 ,, ₱-   ,15,,,₱120.00
,Maps ,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Marche Sandal,,, ₱130.00 ,, ₱-   ,0,,0,₱0.00
,Masking Tape 2 Inches,,, ₱55.00 ,, ₱-   ,3,,3,₱165.00
,Matrix Steel Wall,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Matte Lipstick Ashley 01H Cozy,,, ₱55.00 ,, ₱-   ,2,,2,₱110.00
,Max Stapler No.35,,, ₱55.00 ,, ₱-   ,2,,2,₱110.00
,Mediplast Band Aid,,, ₱2.00 ,, ₱-   ,60,,60,₱120.00
