MEGS AND SAM CONSUMER GOODS TRADING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,,,,Total Number of Invested on Products,,,,," ₱123,187.50 ",
Address,,,,Total Number of Sales,,,,,0,
"City, State, ZIP",,,,Total Number of Sold Products,,,,,0,
Phone,,,,Total Estimated of Stocks (Unsold),,,,, ₱-   ,"3,423.00"
,,,,Total Estimated Value,,,,, ₱-   ,"₱262,365.00"
,,Purchase Information,,,,,,,,
Location,Description,Date,Capital Price, Price per. Product ,Number of Sales, Total  ,Stocks,Sold,Total number  of Unsold Products,Total Estimated Value
,Ashley Oxidant Cream 1L 18 %,,₱85.00, ₱105.00 ,, ₱-   ,0,,0,₱0.00
,Ashley Oxidixer 12% 1Liter,,₱85.00, ₱105.00 ,, ₱-   ,0,,0,₱0.00
,Ashley Oxidixer 6% 1Liter,,₱85.00, ₱105.00 ,, ₱-   ,1,,1,₱105.00
,Ashley Oxidixer 9% 1Liter,,₱85.00, ₱105.00 ,, ₱-   ,0,,0,₱0.00
,Ashley Oxidixer 12% 100ML,,₱18.00, ₱28.00 ,, ₱-   ,0,,0,₱0.00
,Ashley Oxidixer 6% 100ML,,₱18.00, ₱28.00 ,, ₱-   ,4,,4,₱112.00
,Ashley Oxidixer 9% 100ML,,₱18.00, ₱28.00 ,, ₱-   ,0,,0,₱0.00
,BREMOD Oxidixer 12% 100ML,,₱18.00, ₱28.00 ,, ₱-   ,1,,1,₱28.00
,BREMOD Oxidixer 6% 100ML,,₱18.00, ₱28.00 ,, ₱-   ,3,,3,₱84.00
,BREMOD Oxidixer 9% 100ML,,₱18.00, ₱28.00 ,, ₱-   ,3,,3,₱84.00
,Ashley Shine Blackening Shampoo,,, ₱30.00 ,, ₱-   ,0,,0,₱0.00
,Assorted Colored Paper (Long) ,,, ₱4.00 ,, ₱-   ,0,,0,₱0.00
,Assorted Colored Paper (Short) ,,, ₱3.00 ,, ₱-   ,0,,0,₱0.00
,Aulia Lotion AVON ,,, ₱235.00 ,, ₱-   ,1,,1,₱235.00
,Avon Care Lotion 225mL,,, ₱148.00 ,, ₱-   ,2,,2,₱296.00
,Avon Care Lotion 400mL,,, ₱209.00 ,, ₱-   ,2,,2,₱418.00
,Baby Toothbrush ,,, ₱8.00 ,, ₱-   ,0,,0,₱0.00
,Balloons KINGTEX,,, ₱90.00 ,, ₱-   ,1,,1,₱90.00
,Balloons DECOTEX,,, ₱90.00 ,, ₱-   ,1,,1,₱90.00
,BALLON 92T84 PACK,,, ₱60.00 ,, ₱-   ,10,,10,₱600.00
,BALLON HEARTSHAPE RED,,, ₱40.00 ,, ₱-   ,3,,3,₱120.00
,Ballpen Eule Blue,,, ₱10.00 ,, ₱-   ,23,,23,₱230.00
,Ballpen HBW Gel Pen,,, ₱10.00 ,, ₱-   ,97,,97,₱970.00
,Ballpen Panda Black,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Ballpen Panda Black/Classique,,, ₱10.00 ,, ₱-   ,20,,20,₱200.00
,Ballpen Panda RED/Crystal Tech Pen,,, ₱10.00 ,, ₱-   ,25,,25,₱250.00
,Ballpen Panda Blue,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Ballpen APPLE ,,, ₱10.00 ,, ₱-   ,10,,10,₱100.00
,Banner BIRTHDAY,,, ₱90.00 ,, ₱-   ,6,,6,₱540.00
,VALENTINES BANNER,,, ₱70.00 ,, ₱-   ,1,,1,₱70.00
,FOIL VALENTINES BALLON,,, ₱80.00 ,, ₱-   ,1,,1,₱80.00
,Baolilai Spray ,,, ₱75.00 ,, ₱-   ,0,,0,₱0.00
,KING MA SPRAY,,, ₱120.00 ,, ₱-   ,1,,1,₱120.00
,BOTIKI SPRAY,,, ₱75.00 ,, ₱-   ,1,,1,₱75.00
,Baosheng Sandal,,, ₱160.00 ,, ₱-   ,1,,1,₱160.00
,Barbers Cap,,, ₱165.00 ,, ₱-   ,0,,0,₱0.00
,Barbers Cap ,,, ₱90.00 ,, ₱-   ,0,,0,₱0.00
,Barbers Cap (Loreal),,, ₱110.00 ,, ₱-   ,0,,0,₱0.00
,Barbers Cap (nipis),,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Barbers Cap (Violet),,, ₱90.00 ,, ₱-   ,0,,0,₱0.00
,Beauche Beauty Bar ,,₱40.00, ₱60.00 ,, ₱-   ,1,,1,₱60.00
,Beauty Love Skin Essentials  REJUV,,, ₱295.00 ,, ₱-   ,2,,2,₱590.00
,Beauty Milk CollagenSTRAWBERRY,,, ₱399.00 ,, ₱-   ,3,,3,"₱1,197.00"
,Beauty Milk Glutathione MELLON,,, ₱399.00 ,, ₱-   ,3,,3,"₱1,197.00"
,Beauty Vault Dietary Supplement ,,, ₱420.00 ,, ₱-   ,1,,1,₱420.00
,Beauty Vault Premium Soap,,, ₱115.00 ,, ₱-   ,0,,0,₱0.00
,Beauty Vault Adlaw sunscreen,,, ₱210.00 ,, ₱-   ,1,,1,₱210.00
,Beauty Vault TONER 120ML,,, ₱210.00 ,, ₱-   ,1,,1,₱210.00
,Beauty Vault REJUV SET,,, ₱290.00 ,, ₱-   ,8,,8,"₱2,320.00"
,Beauty Vault Tinted Sunblock Cream 50GRMS,,, ₱280.00 ,, ₱-   ,2,,2,₱560.00
,Beauty Vault MANNGA SUNSCREEN 50 GRMS,,, ₱200.00 ,, ₱-   ,3,,3,₱600.00
,Beauty Vault SUNBLOCK REFILL 10 GRMS,,, ₱65.00 ,, ₱-   ,0,,0,₱0.00
,Beauty Vault Whitening MAINTENANCE,,, ₱290.00 ,, ₱-   ,7,,7,"₱2,030.00"
,Beauty White Refill SOAP,,, ₱50.00 ,, ₱-   ,4,,4,₱200.00
